DoE_online;1;0,9;0,2;2,5;60;0,0005;0,28
DoE_online;2;0,9;0,2;6;60;0,0002;0,00
DoE_online;3;0,9;0,4;2,5;60;0,0005;0,14
DoE_online;4;0,9;0,4;6;60;0,0227;0,05
DoE_online;5;3;0,2;2,5;60;0,0005;0,00
DoE_online;6;3;0,2;6;60;0,0356;0,03
DoE_online;7;3;0,4;2,5;60;0,1394;0,13
DoE_online;8;3;0,4;6;60;0,1988;0,25
DoE_online;9;1,95;0,3;4,25;110;0,2771;0,35
DoE_online;10;1,95;0,3;4,25;110;0,2773;0,35
DoE_online;11;1,95;0,3;4,25;110;0,2813;0,35
DoE_online;12;0,9;0,2;2,5;160;0,1189;0,26
DoE_online;13;0,9;0,2;6;160;0,1892;0,36
DoE_online;14;0,9;0,4;2,5;160;0,4238;0,41
DoE_online;15;0,9;0,4;6;160;0,4377;0,57
DoE_online;16;3;0,2;2,5;160;0,4241;0,63
DoE_online;17;3;0,2;6;160;0,3616;0,84
DoE_online;18;3;0,4;2,5;160;1,5726;0,86
DoE_online;19;3;0,4;6;160;0,8503;1,00
Self_2;1;1,44;0,4;3,89;157,3;0,7632;0,63
Self_2;2;1,42;0,36;2,74;150,6;0,6246;0,46
Self_2;3;1,28;0,4;3,45;156,2;0,7158;0,54
Self_2;4;1,64;0,38;3,57;157,9;0,8307;0,56
Self_2;5;1,65;0,4;3,24;146;0,7974;0,58
Self_2;6;1,94;0,39;4,07;147,9;0,8602;0,69
Self_2;7;1,79;0,4;4,4;160;0,8767;0,77
Self_2;8;1,87;0,4;2,5;141,3;0,9076;0,56
Self_2;9;1,46;0,4;2,72;155,9;0,8425;0,56
Self_2;10;2,27;0,39;2,5;152,5;1,2345;0,65
Self_2;11;2,12;0,39;4,64;156,1;0,9044;0,84
Self_2;12;2,24;0,38;6;159,4;0,7522;0,94
Self_2;13;1,6487;0,3654;6;160;0,6315;0,89
Self_2;14;2,492;0,3555;3,1091;150,2125;0,9532;0,73
Self_2;15;2,0501;0,3899;3,1467;132,985;0,7974;0,58
Self_3;1;1,44;0,221;5,51;131,1;0,1756;0,28
Self_3;2;2,14;0,207;6;100,4;0,091;0,21
Self_3;3;1,49;0,308;5,52;93;0,1176;0,24
Self_3;4;1,04;0,279;5,58;150,5;0,2753;0,42
Self_3;5;1;0,282;5,89;140,7;0,1972;0,40
Self_3;6;1,56;0,254;5,46;151,4;0,2734;0,51
Self_3;7;1,68;0,29;5,45;158,8;0,4093;0,67
Self_3;8;1,2;0,266;5,67;158,8;0,3289;0,66
Self_3;9;2,54;0,315;5,84;158,5;0,5708;0,85
Self_3;10;2,59;0,31;5,73;156,4;0,5661;0,90
Self_3;11;2,69;0,373;5,29;158,7;0,8566;0,94
Self_3;12;2,69;0,375;4,93;159,3;0,9138;0,94
Self_3;13;2,79;0,396;5,02;160;0,9536;0,97
Self_3;14;2,97;0,396;5,51;159,5;0,9044;0,98
Self_3;15;2,84;0,33;3,72;159,2;0,8709;0,92
Self_3;16;2,75;0,352;4,11;148,7;0,8844;0,87
Self_3;17;2,9;0,366;4,66;159,4;0,917;0,95
Self_3;18;2,96;0,376;5,25;156,5;0,8669;0,96
Self_3;19;2,96;0,352;5,29;160;0,7673;0,97
Self_3;20;2,78;0,341;4,32;159,5;0,8377;0,93
Self_3;21;2,97;0,4;3,13;157,4;1,272;0,91
Self_3;22;2,95;0,397;2,58;159;1,4822;0,88
Self_3;23;2,84;0,387;2,54;158;1,4581;0,86
Self_3;24;2,55;0,4;3,29;159,9;1,2724;0,87
Self_3;25;3;0,393;3,03;158,2;1,3741;0,89
Self_3;26;3;0,383;2,5;159,1;1,444;0,86
Self_3;27;2,86;0,398;3,88;157,1;1,1722;0,93
Self_3;28;2,86;0,388;2,5;150,8;1,3535;0,81
Self_3;29;2,7;0,4;3,07;160;1,3774;0,88
Self_3;30;2,98;0,4;2,82;153,8;1,4395;0,87
Self_3;31;3;0,3697;4,1975;152,3;0,9932;0,93
Self_3;32;2,96;0,3934;2,8928;145,4;1,2818;0,83
Self_4;1;1,82;0,38;4,82;81,2;0,1951;0,26
Self_4;2;2,87;0,37;4,69;140,2;0,8507;0,88
Self_4;3;1,96;0,33;4,51;158,2;0,6459;0,79
Self_4;4;2,59;0,3;4,49;133,3;0,544;0,67
Self_4;5;3;0,38;3,3;150,8;1,2191;0,87
Self_4;6;1,9;0,36;3,96;138,4;0,6635;0,63
Self_4;7;2,92;0,32;3,81;150,4;0,8004;0,84
Self_4;8;2,76;0,39;3,61;154,4;1,1416;0,88
Self_4;9;2,93;0,29;2,68;160;0,8228;0,77
Self_4;10;2,96;0,3;5,82;154,9;0,583;0,93
